,Unnamed: 0,user id,test group,converted,total ads,most ads day,most ads hour
93507,93507,1654483,ad,False,7,Friday,10
546091,546091,1654482,ad,False,29,Monday,16
237353,237353,1654480,ad,False,16,Saturday,14
387304,387304,1654478,ad,False,15,Friday,20
2187,2187,1654477,ad,False,481,Sunday,6
320089,320089,1654476,ad,False,2,Saturday,19
250780,250780,1654475,ad,False,4,Sunday,22
243998,243998,1654473,ad,False,6,Sunday,11
577131,577131,1654472,ad,False,6,Sunday,13
251989,251989,1654471,ad,False,15,Monday,9
41666,41666,1654470,ad,False,6,Wednesday,20
520178,520178,1654469,ad,False,15,Thursday,21
549115,549115,1654468,ad,False,5,Monday,23
75673,75673,1654467,ad,False,43,Saturday,22
515154,515154,1654466,ad,False,29,Wednesday,18
95692,95692,1654465,ad,False,20,Tuesday,13
9709,9709,1654464,ad,False,24,Tuesday,22
34026,34026,1654463,ad,False,27,Wednesday,16
35551,35551,1654462,ad,False,14,Wednesday,10
342450,342450,1654461,ad,False,29,Sunday,10
229528,229528,1654460,ad,True,74,Saturday,9
17772,17772,1654459,ad,False,41,Wednesday,10
467365,467365,1654458,ad,False,1,Friday,8
357764,357764,1654457,ad,False,5,Monday,19
22112,22112,1654456,ad,False,27,Tuesday,11
299428,299428,1654455,ad,False,26,Saturday,11
552619,552619,1654454,ad,False,27,Tuesday,14
30341,30341,1654453,ad,False,11,Thursday,13
516257,516257,1654452,ad,False,1,Wednesday,19
49182,49182,1654451,ad,False,14,Thursday,20
352439,352439,1654450,ad,False,10,Sunday,18
317957,317957,1654449,ad,False,17,Tuesday,12
203277,203277,1654448,ad,False,1,Wednesday,9
535367,535367,1654446,ad,False,12,Sunday,11
128338,128338,1654445,ad,False,49,Monday,12
362078,362078,1654444,ad,False,25,Sunday,11
125013,125013,1654443,ad,False,17,Thursday,20
146526,146526,1654442,ad,False,34,Sunday,19
8998,8998,1654441,ad,True,204,Wednesday,18
103165,103165,1654440,ad,False,24,Wednesday,23
582664,582664,1654439,ad,False,3,Monday,16
169018,169018,1654438,ad,False,3,Friday,14
385421,385421,1654437,ad,False,30,Sunday,10
32211,32211,1654436,ad,False,13,Wednesday,15
250073,250073,1654434,ad,False,51,Sunday,21
510409,510409,1654433,ad,False,8,Tuesday,21
560886,560886,1654432,ad,False,19,Saturday,2
423967,423967,1654431,ad,False,1,Friday,0
447455,447455,1654430,ad,False,1,Sunday,18
411969,411969,1654429,ad,False,16,Wednesday,18
243957,243957,1654428,ad,False,9,Sunday,11
89007,89007,1654424,ad,True,67,Wednesday,13
27437,27437,1654423,ad,False,117,Wednesday,13
208447,208447,1654422,ad,False,15,Sunday,12
410795,410795,1654418,ad,False,12,Sunday,10
424389,424389,1654417,ad,False,2,Friday,15
